site_id,date,time,so2,co,o3,no2,nox,no
64,2024-08-31,19,2,0,43,2,2,0
312,2024-08-31,19,NULL,NULL,NULL,NULL,NULL,NULL
66,2024-08-31,19,1,0,18,7,8,1
83,2024-08-31,19,1,0,39,3,4,0
313,2024-08-31,19,0,0,13,1,2,1
311,2024-08-31,19,1,0,33,14,16,2
204,2024-08-31,19,0,0,40,4,4,1
203,2024-08-31,19,1,0,45,5,6,1
202,2024-08-31,19,2,0,47,5,6,1
201,2024-08-31,19,5,1,35,11,14,2
85,2024-08-31,19,1,0,43,1,1,0
84,2024-08-31,19,0,0,50,1,1,0
80,2024-08-31,19,1,0,18,2,2,0
67,2024-08-31,19,2,1,27,38,61,23
78,2024-08-31,19,2,0,67,3,5,2
77,2024-08-31,19,1,0,23,12,13,1
75,2024-08-31,19,1,0,48,4,4,1
72,2024-08-31,19,1,0,47,5,6,1
71,2024-08-31,19,1,0,44,9,12,3
70,2024-08-31,19,2,0,48,12,13,2
69,2024-08-31,19,2,0,40,4,5,1
68,2024-08-31,19,2,1,32,30,39,10
43,2024-08-31,19,1,0,50,5,6,1
42,2024-08-31,19,1,0,40,6,6,0
41,2024-08-31,19,1,0,42,1,3,1
9,2024-08-31,19,1,0,58,9,10,1
18,2024-08-31,19,2,0,48,18,19,1
17,2024-08-31,19,2,0,54,12,13,1
16,2024-08-31,19,2,1,37,28,38,10
15,2024-08-31,19,2,0,58,10,11,1
14,2024-08-31,19,3,0,53,12,13,1
13,2024-08-31,19,3,0,51,17,18,1
12,2024-08-31,19,2,0,48,18,19,1
11,2024-08-31,19,1,0,60,6,7,1
8,2024-08-31,19,2,0,59,10,12,1
20,2024-08-31,19,2,0,50,12,14,1
7,2024-08-31,19,1,0,57,9,10,1
6,2024-08-31,19,4,0,54,13,15,1
5,2024-08-31,19,1,0,48,9,9,0
4,2024-08-31,19,1,0,50,7,8,1
3,2024-08-31,19,0,0,47,4,5,1
2,2024-08-31,19,2,0,57,8,9,1
1,2024-08-31,19,2,0,65,5,5,0
40,2024-08-31,19,1,0,41,4,5,1
19,2024-08-31,19,2,0,45,10,10,0
10,2024-08-31,19,2,0,49,3,4,1
21,2024-08-31,19,3,0,44,11,12,1
31,2024-08-31,19,1,0,34,8,9,1
22,2024-08-31,19,2,0,49,7,7,1
38,2024-08-31,19,1,0,36,3,4,1
37,2024-08-31,19,1,0,41,4,6,1
36,2024-08-31,19,6,1,32,13,14,1
35,2024-08-31,19,0,0,43,1,2,1
34,2024-08-31,19,1,0,46,2,3,0
33,2024-08-31,19,3,0,37,11,12,1
32,2024-08-31,19,1,0,39,2,3,0
39,2024-08-31,19,2,0,43,6,6,0
30,2024-08-31,19,1,0,36,8,8,1
26,2024-08-31,19,1,0,34,2,4,1
24,2024-08-31,19,1,0,41,7,8,1
25,2024-08-31,19,1,0,35,5,7,2
23,2024-08-31,19,1,0,36,7,8,1
27,2024-08-31,19,1,0,38,2,3,1
28,2024-08-31,19,2,0,37,6,6,0
29,2024-08-31,19,1,0,44,4,4,0
65,2024-08-31,18,1,0,65,4,5,1
56,2024-08-31,18,1,0,42,8,9,1
64,2024-08-31,18,2,0,44,2,2,0
63,2024-08-31,18,0,0,25,2,3,1
62,2024-08-31,18,2,0,19,4,5,1
61,2024-08-31,18,1,0,15,1,2,1
60,2024-08-31,18,1,0,27,3,4,1
59,2024-08-31,18,1,0,46,6,7,1
58,2024-08-31,18,1,0,39,11,13,2
57,2024-08-31,18,2,0,40,10,12,2
51,2024-08-31,18,0,0,35,6,7,1
54,2024-08-31,18,1,0,50,3,3,0
53,2024-08-31,18,1,0,46,8,10,2
52,2024-08-31,18,1,0,46,4,5,1
67,2024-08-31,18,2,1,30,35,59,24
50,2024-08-31,18,2,0,41,10,11,1
49,2024-08-31,18,1,0,47,7,8,1
48,2024-08-31,18,1,0,45,6,7,1
47,2024-08-31,18,0,0,52,3,4,1
46,2024-08-31,18,0,0,44,5,6,1
66,2024-08-31,18,1,0,24,6,9,2
1,2024-08-31,18,2,0,68,5,5,0
68,2024-08-31,18,2,1,40,23,27,5
85,2024-08-31,18,1,0,46,2,2,0
44,2024-08-31,18,1,0,44,3,4,1
313,2024-08-31,18,0,0,14,1,2,1
312,2024-08-31,18,NULL,NULL,NULL,NULL,NULL,NULL
311,2024-08-31,18,2,0,41,15,17,2
204,2024-08-31,18,0,0,41,4,5,1
203,2024-08-31,18,1,0,40,2,3,1
202,2024-08-31,18,1,0,44,3,4,1
201,2024-08-31,18,7,1,29,16,19,4
84,2024-08-31,18,0,0,52,1,1,0
69,2024-08-31,18,2,0,47,5,6,1
83,2024-08-31,18,1,0,42,4,4,1
80,2024-08-31,18,1,0,21,2,2,0
78,2024-08-31,18,2,0,67,3,4,2
77,2024-08-31,18,1,0,30,7,9,1
75,2024-08-31,18,1,0,54,1,2,1
72,2024-08-31,18,1,0,55,4,5,1
71,2024-08-31,18,1,0,40,10,12,2
70,2024-08-31,18,3,1,55,16,18,2
45,2024-08-31,18,1,0,46,3,3,0
21,2024-08-31,18,3,0,58,11,12,1
43,2024-08-31,18,1,0,37,5,6,2
10,2024-08-31,18,2,0,48,3,4,1
19,2024-08-31,18,2,0,51,5,5,1
18,2024-08-31,18,2,0,49,12,13,1
17,2024-08-31,18,2,0,57,10,11,1
16,2024-08-31,18,2,1,44,23,30,7
15,2024-08-31,18,5,0,64,10,10,1
14,2024-08-31,18,4,0,59,14,15,1
13,2024-08-31,18,3,0,58,13,15,1
11,2024-08-31,18,1,0,60,5,6,1
9,2024-08-31,18,1,0,54,9,10,1
22,2024-08-31,18,1,0,46,3,4,1
8,2024-08-31,18,2,0,61,8,9,1
7,2024-08-31,18,2,0,60,9,10,1
6,2024-08-31,18,5,0,63,12,14,2
5,2024-08-31,18,2,0,60,9,10,1
4,2024-08-31,18,1,0,50,7,7,1
3,2024-08-31,18,1,0,60,5,6,1
2,2024-08-31,18,3,0,66,8,9,1
42,2024-08-31,18,1,0,38,3,3,0
20,2024-08-31,18,1,0,49,12,14,2
12,2024-08-31,18,2,0,56,14,15,1
41,2024-08-31,18,1,0,44,1,2,1
32,2024-08-31,18,1,0,42,2,3,1
23,2024-08-31,18,1,0,43,6,8,1
40,2024-08-31,18,NULL,0,43,5,6,1
39,2024-08-31,18,2,0,41,4,5,0
38,2024-08-31,18,1,0,40,3,5,1
37,2024-08-31,18,1,0,42,4,5,1
36,2024-08-31,18,3,0,41,8,9,2
34,2024-08-31,18,1,0,51,2,3,0
33,2024-08-31,18,5,0,38,11,12,1
35,2024-08-31,18,1,0,49,1,2,1
31,2024-08-31,18,1,0,38,6,8,2
28,2024-08-31,18,2,0,42,5,6,1
25,2024-08-31,18,1,0,33,5,7,2
26,2024-08-31,18,1,0,37,2,3,1
27,2024-08-31,18,1,0,38,2,2,0
24,2024-08-31,18,1,0,36,5,6,1
29,2024-08-31,18,1,0,44,3,4,0
30,2024-08-31,18,1,0,35,6,7,1
53,2024-08-31,17,3,0,46,12,13,2
63,2024-08-31,17,0,0,26,1,2,1
62,2024-08-31,17,1,0,28,2,3,1
61,2024-08-31,17,1,0,16,1,2,1
60,2024-08-31,17,1,0,36,3,4,1
59,2024-08-31,17,1,0,43,8,9,1
58,2024-08-31,17,1,0,42,7,9,2
57,2024-08-31,17,1,0,43,6,8,2
56,2024-08-31,17,1,0,44,4,6,1
54,2024-08-31,17,1,0,52,1,2,0
44,2024-08-31,17,1,0,46,2,3,1
52,2024-08-31,17,1,0,52,5,5,1
51,2024-08-31,17,0,0,46,5,6,1
50,2024-08-31,17,2,0,45,9,10,1
49,2024-08-31,17,1,0,49,6,6,1
48,2024-08-31,17,2,0,45,8,9,2
47,2024-08-31,17,0,0,53,4,5,1
46,2024-08-31,17,0,0,44,4,5,1
45,2024-08-31,17,1,0,43,2,2,0
66,2024-08-31,17,1,0,28,4,7,3
65,2024-08-31,17,1,0,55,4,4,1
313,2024-08-31,17,1,0,18,1,2,1
67,2024-08-31,17,2,1,28,30,54,24
84,2024-08-31,17,0,0,62,1,1,0
64,2024-08-31,17,2,0,48,2,2,0
312,2024-08-31,17,NULL,NULL,NULL,NULL,NULL,NULL
311,2024-08-31,17,2,0,43,14,15,1
204,2024-08-31,17,1,0,53,3,4,1
203,2024-08-31,17,1,0,40,2,3,1
202,2024-08-31,17,1,0,40,1,3,1
201,2024-08-31,17,5,0,33,10,13,3
85,2024-08-31,17,1,0,48,2,3,0
83,2024-08-31,17,1,0,45,2,3,1
68,2024-08-31,17,1,1,28,21,34,13
80,2024-08-31,17,1,0,16,2,2,0
78,2024-08-31,17,2,0,61,2,3,2
77,2024-08-31,17,1,0,39,4,5,1
75,2024-08-31,17,0,0,50,1,1,1
72,2024-08-31,17,1,0,61,3,4,1
71,2024-08-31,17,0,0,40,5,7,2
70,2024-08-31,17,3,0,55,12,14,2
69,2024-08-31,17,3,0,54,5,6,1
43,2024-08-31,17,1,0,39,6,8,2
42,2024-08-31,17,1,0,42,3,3,0
41,2024-08-31,17,1,0,47,2,3,1
9,2024-08-31,17,1,0,51,8,10,2
18,2024-08-31,17,1,0,48,6,8,2
17,2024-08-31,17,1,0,57,8,9,2
16,2024-08-31,17,2,0,38,20,28,8
15,2024-08-31,17,4,0,63,7,8,1
14,2024-08-31,17,4,0,58,11,12,2
13,2024-08-31,17,3,0,54,10,12,2
12,2024-08-31,17,2,0,50,10,12,2
11,2024-08-31,17,1,0,49,7,9,2
8,2024-08-31,17,2,0,54,6,8,1
20,2024-08-31,17,2,0,38,10,12,2
7,2024-08-31,17,1,0,56,7,8,1
6,2024-08-31,17,4,0,63,10,12,2
5,2024-08-31,17,2,0,62,8,9,1
4,2024-08-31,17,3,0,60,9,10,1
3,2024-08-31,17,1,0,81,5,5,1
2,2024-08-31,17,3,0,69,6,7,1
1,2024-08-31,17,2,0,79,4,4,0
40,2024-08-31,17,1,0,41,3,5,1
19,2024-08-31,17,1,0,40,2,3,1
10,2024-08-31,17,2,0,33,13,23,10
21,2024-08-31,17,3,0,51,9,10,1
31,2024-08-31,17,1,0,39,6,9,2
22,2024-08-31,17,1,0,39,3,4,1
38,2024-08-31,17,0,0,42,2,3,1
37,2024-08-31,17,1,0,45,3,4,1
36,2024-08-31,17,1,0,61,5,6,1
35,2024-08-31,17,1,0,50,2,3,1
34,2024-08-31,17,1,0,52,1,2,0
33,2024-08-31,17,4,0,38,9,12,3
32,2024-08-31,17,1,0,42,2,3,1
39,2024-08-31,17,1,0,41,2,3,0
30,2024-08-31,17,1,0,45,3,4,1
26,2024-08-31,17,1,0,40,1,2,1
24,2024-08-31,17,1,0,41,5,6,1
25,2024-08-31,17,1,0,38,2,4,2
23,2024-08-31,17,1,0,60,6,7,1
27,2024-08-31,17,1,0,45,2,3,1
28,2024-08-31,17,2,0,45,6,7,1
29,2024-08-31,17,1,0,45,3,4,1
