site_id,date,time,aqi,status
50,2024-08-31,17,57,Moderate
49,2024-08-31,17,58,Moderate
48,2024-08-31,17,61,Moderate
47,2024-08-31,17,49,Good
46,2024-08-31,17,55,Moderate
45,2024-08-31,17,51,Moderate
66,2024-08-31,17,35,Good
65,2024-08-31,17,41,Good
313,2024-08-31,17,29,Good
67,2024-08-31,17,67,Moderate
84,2024-08-31,17,46,Good
64,2024-08-31,17,40,Good
312,2024-08-31,17,NULL,NULL
311,2024-08-31,17,64,Moderate
204,2024-08-31,17,77,Moderate
203,2024-08-31,17,52,Moderate
202,2024-08-31,17,45,Good
201,2024-08-31,17,62,Moderate
85,2024-08-31,17,48,Good
83,2024-08-31,17,44,Good
68,2024-08-31,17,60,Moderate
80,2024-08-31,17,19,Good
78,2024-08-31,17,50,Good
77,2024-08-31,17,45,Good
75,2024-08-31,17,50,Good
72,2024-08-31,17,64,Moderate
71,2024-08-31,17,54,Moderate
70,2024-08-31,17,77,Moderate
69,2024-08-31,17,80,Moderate
43,2024-08-31,17,58,Moderate
42,2024-08-31,17,71,Moderate
41,2024-08-31,17,47,Good
9,2024-08-31,17,45,Good
18,2024-08-31,17,42,Good
17,2024-08-31,17,50,Good
16,2024-08-31,17,68,Moderate
15,2024-08-31,17,71,Moderate
14,2024-08-31,17,93,Moderate
13,2024-08-31,17,74,Moderate
12,2024-08-31,17,58,Moderate
11,2024-08-31,17,49,Good
8,2024-08-31,17,67,Moderate
20,2024-08-31,17,52,Moderate
7,2024-08-31,17,67,Moderate
6,2024-08-31,17,126,"Unhealthy for Sensitive Groups"
5,2024-08-31,17,126,"Unhealthy for Sensitive Groups"
4,2024-08-31,17,101,"Unhealthy for Sensitive Groups"
3,2024-08-31,17,87,Moderate
2,2024-08-31,17,74,Moderate
1,2024-08-31,17,84,Moderate
40,2024-08-31,17,47,Good
19,2024-08-31,17,39,Good
10,2024-08-31,17,44,Good
21,2024-08-31,17,77,Moderate
31,2024-08-31,17,48,Good
22,2024-08-31,17,54,Moderate
38,2024-08-31,17,58,Moderate
37,2024-08-31,17,71,Moderate
36,2024-08-31,17,80,Moderate
35,2024-08-31,17,49,Good
34,2024-08-31,17,48,Good
33,2024-08-31,17,54,Moderate
32,2024-08-31,17,47,Good
39,2024-08-31,17,48,Good
30,2024-08-31,17,67,Moderate
26,2024-08-31,17,44,Good
24,2024-08-31,17,44,Good
25,2024-08-31,17,48,Good
23,2024-08-31,17,67,Moderate
27,2024-08-31,17,51,Moderate
28,2024-08-31,17,51,Moderate
29,2024-08-31,17,45,Good
22,2024-08-31,16,54,Moderate
31,2024-08-31,16,47,Good
23,2024-08-31,16,54,Moderate
24,2024-08-31,16,44,Good
25,2024-08-31,16,48,Good
26,2024-08-31,16,44,Good
27,2024-08-31,16,53,Moderate
28,2024-08-31,16,49,Good
29,2024-08-31,16,47,Good
30,2024-08-31,16,61,Moderate
