county,sitename,Date,pm2.5,pm10,no,no2,nox,co,so2,o3,AQI,status
Region XII (SOCCSKSARGEN),Tacurong,2020-09-01,1.4,3.3582828031924383,1.1052831414938626,1.583533726999896,1.4250729403016922,0.0472032929670843,0.5027821111841998,29.11805104893773,6.0,good
Region XII (SOCCSKSARGEN),Tacurong,2020-10-01,1.4,3.4294159885240525,1.1012829949420897,1.8385206249121464,1.5580959185227452,0.0319474839431544,0.7306191416354595,48.19008504969256,6.0,good
Region XII (SOCCSKSARGEN),Tacurong,2020-11-01,3.499633748444735,5.620985311521303,2.3959285532963923,5.977000119576435,4.437652196622599,0.1227096535394823,1.724302612212857,46.45738195005463,15.0,good
Region XII (SOCCSKSARGEN),Tacurong,2020-12-01,11.155652595145794,22.177843233631624,4.527477920004392,16.627742725637308,11.2122669421901,0.475578807507541,6.318288524624023,45.61525574511952,46.0,very unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-01-01,19.61084814091047,13.189277167598975,14.513957618335173,21.934954919394706,19.317923644996835,0.9561759026453648,9.607738694949049,51.81944668757173,67.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-02-01,2.0,4.200711101566332,0.7009198835683514,3.1608018539958227,2.0467125209090127,0.0468391901098688,0.5378925535782765,47.840259423289545,8.0,good
Region XII (SOCCSKSARGEN),Tacurong,2021-03-01,27.7428165149759,48.07106327090025,17.060373238557897,46.560068805417934,33.71883428330719,1.0825067492321447,15.217997537012131,22.073720478172817,84.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-04-01,16.36452821416101,37.15780479128968,8.650413506255255,18.5428773778454,14.412444168573346,0.5006950418155222,3.891080402148913,36.37573373554665,60.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-05-01,25.882359943599283,55.49184703002765,8.272205065868828,41.28954082556282,26.26772532245878,0.6943157287565557,13.48658782543797,40.28865511337028,80.0,acutely unhealthy
Region XII (SOCCSKSARGEN),Tacurong,2021-06-01,5.538567538144879,11.47372195779126,4.164745273637435,7.971660801677943,6.432295219917151,0.2101359035085178,3.1906354262790377,51.96286943366255,23.0,good
